CC / OVC,Company (Label),Position Country (Label),Legal Entity (Label),Physical Location (Location Name),Business unit (Label),Position Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Job Title,Position Position Title (Label),Work Contract (Picklist Label),Job Function (Label)
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shaft Cell Operator,Torqueshaft Cell BFG,Manufacturing - Shaft Cell Operator,BGR Shaft Cell Operator,Direct (DL),Manufacturing
CC,Underground,United States,Joy Global Underground,Warrendale - Global HDQTRS,Sales,Komatsu Mining Technologies,Selling,Regular,Full-Time,Salaried,"Director, Regional Sales & Business Development",Svc & Business Dev,Sales - Business Development Manager III,Global Commercial Director,Supervision Sal (SA),Sales
OVC,Underground,United States,Joy Global Underground,Solon - Cleveland Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Milling Machine Operator,Mill BFG,Manufacturing - Milling Machine Operator,Miller,Direct (DL),Manufacturing
CC,Hardrock,Canada,Joy Global (Canada) Ltd,25 Fielding - Hard Rock Canada,Field Svc,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Service Manager IV,Dynacut Trial,Aftermarket Support - Service Manager IV,Service Product Program Manager,Indirect (IG),Aftermarket Support
CC,KAC,United States,Komatsu America Corp.,Home Office,Construction Equipment Sales,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,Sr District Manager,Central Region Machi,Sales - Sr District Manager,Sr District Manager,,Sales
CC,KAC,United States,Komatsu America Corp.,Peoria,Information Technology,Corporate,General & Administrative,Regular,Full-Time,Salaried,IT Manager I,ERP Center of Excell,Information Technology - IT Manager I,"IT Manager, Baan",,Information Technology
CC,KAC,United States,Komatsu America Corp.,Home Office,Construction Equipment Sales,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,Sr District Manager,Central Region Machi,Sales - Sr District Manager,Sr District Manager,,Sales
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,"Sr Mgr, Eng Admininstration",ADMIN ENGINEERING,"Sr Mgr, Eng Admininstration","Sr. Manager, Engineering Administration",,Engineering
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Principal Engineer II,DESIGN ENGINEERING,Principal Engineer II,Senior Principal Engineer,,Engineering
OVC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Hourly,Shop/Field Technician - U/N,SaltLake-Svc NonMgmt,Shop Technician - Shop/Field Technician - U/N,Shop/Field Technician - U/N,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,General Manager Haulage,PMO-GENERAL ADMIN,"General Manager, PMO","General Manager, PMO",,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Komatsu Financial,Komatsu North America,Komatsu Financial,Regular,Full-Time,Salaried,"Director, Business Integration-KFLP",KFLP OVERHEAD-RETAIL,"Finance - Director, Business Integration-KFLP","Director, Business Integration-KFLP",,Finance
OVC,Komatsu America Industries,United States,Komatsu America Industries,Perfection- IMO,Komatsu America Industries,,IMO - KAI,Regular,Full-Time,Salaried,Field Service Technician,PTD Service-Mfg Dirt,Field Service - Field Service Technician,Field Service Technician,Cler & Sten Sal (SD),Co. Owned Distribution
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Lead Engineer II,DESIGN ENGINEERING,Lead Engineer II,Lead Engineer II,,Engineering
CC,Komatsu America Industries,United States,Komatsu America Industries,Novi (NTC/IMO),Komatsu America Industries,,IMO - KAI,Regular,Full-Time,Salaried,Administrative Assistant,LSPD Service-Mfg Dir,Administrative - Administrative Assistant,Administrative Assistant,Cler & Sten Sal (SD),Administrative
CC,Komatsu America Industries,United States,Komatsu America Industries,Chicago Headquarters,Komatsu America Industries,,IMO - KAI,Regular,Full-Time,Salaried,"VP, KAI LLC",IMO - PTD SALES,"Executive Leadership - VP, KAI LLC","President, Sales Division",,Executive Leadership
CC,Komatsu America Industries,United States,Komatsu America Industries,Home Office,Komatsu America Industries,,IMO - KAI,Regular,Full-Time,Salaried,Regional Sales Manager,IMO - PTD SALES,Sales - Regional Sales Manager,Regional Sales Manager,,Sales
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Inspector I,CMO-INDIR.QA-HE,Manufacturing - Inspector I,Inspector I,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Quality Assurance Specialist,"CMO-MFG.QA,",Manufacturing - Quality Assurance Specialist,Quality Assurance Specialist,,Manufacturing
CC,Komatsu America Industries,United States,Komatsu America Industries,Chicago Headquarters,Komatsu America Industries,,IMO - KAI,Regular,Full-Time,Salaried,Parts Manager,IMO - PTD SERVICE,Parts - Parts Manager,Parts Manager,,Parts
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Quality Assurance Supervisor,"CMO-MFG.QA,",Quality - Quality Assurance Supervisor,Quality Assurance Supervisor,,Manufacturing Quality
CC,KAC,United States,Komatsu America Corp.,Chattanooga,Manufacturing Admin,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Quality Assurance Specialist,Reman Admin/Exec,Manufacturing - Quality Assurance Specialist,Quality Assurance Specialist,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Manufacturing Engineering Technician,"CMO-RedHat,Supp,TL",Manufacturing - Manufacturing Engineering Technician,Manufacturing Engineering Technician,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder TL,"CMO-RedHat,Supp,TL",Manufacturing - Welder TL,Welder TL,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder,CMO-DIR.FAB.-HE,Manufacturing - Welder,Welder,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Information Technology,Corporate,General & Administrative,Regular,Full-Time,Salaried,Lead Technical SAP Business Analyst,ERP Center of Excell,Information Technology - Lead Technical SAP Business Analyst,Lead Technical SAP Business Analyst,,Information Technology
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Construction Equipment Sales,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,Remarketing Inventory Manager,REMARKETING,Remarketing Inventory Manager,Remarketing Inventory Manager,,Sales
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Buyer II,"CMO-PURCH.,",Buyer II,Material Buyer/Planner,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,Supply Chain Division,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Supply Chain Planner,Supply Chain Divisio,Supply Chain - Supply Chain Planner,Supply Chain Planner,,Supply Chain
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Executive Admin,Komatsu North America,General & Administrative,Regular,Full-Time,Salaried,"Chairman & CEO, KAC",KAC-CORP. EXECS. KNA,"Executive Leadership - Chairman & CEO, KAC","Chairman & CEO, KAC",,Executive Leadership
OVC,Komatsu West,United States,Komatsu America Corp.,Elko (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Hourly,Sr Shop -Field Technician-U/N,Elko - Svc NonMgmt,Shop Technician - Sr Shop -Field Technician-U/N,Sr Field Technician-U/N,,Warehouse Distribution
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,EHS Manager II,CMO-Mfg Safety/Envir,EHS Manager II,"Manager, Safety & Environment",,Environmental Health & Safety
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Trans Utility Worker,PMO-MFG SHIPPING,Manufacturing - Trans Utility Worker,Trans Utility Worker,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Information Technology,Corporate,General & Administrative,Regular,Full-Time,Salaried,Lead Technical SAP Business Analyst,ERP Center of Excell,Information Technology - Lead Technical SAP Business Analyst,Lead Technical SAP Business Analyst,,Information Technology
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Komatsu Financial,Komatsu North America,Komatsu Financial,Regular,Full-Time,Salaried,Operations Sales Specialist,KFLP OVERHEAD-RETAIL,Finance - Operations Sales Specialist,Operations Sales Specialist,,Finance
CC,KAC,United States,Komatsu America Corp.,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,"Manager, Perf Contract Development",MINING NA SALES,"Mining Sales & Marketing - Manager, Perf Contract Development","Manager, Perf Contract Development",,Mining Sales & Marketing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder,CMO-DIR.FAB.-HE,Manufacturing - Welder,Welder,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Manufacturing Engineering Technician,CMO-IND.MAINT.-HE,Manufacturing - Manufacturing Engineering Technician,Manufacturing Engineering Technician,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Manufacturing Engineering Technician,CMO-IND.MAINT.-HE,Manufacturing - Manufacturing Engineering Technician,Manufacturing Engineering Technician,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineering Manager I,DESIGN ENGINEERING,Engineering Manager I,Engineering Manager,,Engineering
CC,Underground,United States,Joy Global Underground,Franklin - Franklin Operations,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Principal Engineer II,Control & Automation,Engineering - Principal Engineer II,Principal Technology Engineer,Tech & Spec Sal (SE),Engineering
CC,KAC,United States,Komatsu America Corp.,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Mining Service Manager,PRODUCT QUAL SUPPORT,Mining Service Manager,Product Performance Manager,,Mining Service
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Material Handling Specialist,TEST ENGINEERING,Manufacturing - Material Handling Specialist,Material Handling Specialist,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Vice President Aftermarket,MINING EXECUTIVES,Vice President Aftermarket,"VP, Aftermarket",,Aftermarket Service
CC,KAC,United States,Komatsu America Corp.,Peoria,Parts Sales & Marketing,Komatsu North America,Parts,Regular,Full-Time,Salaried,"Director, Parts Sales",PARTS SALES&MKTG ADM,"Parts Sales & Marketing - Director, Parts Sales","Director, Parts Sales",,Parts Sales & Marketing
CC,KAC,United States,Komatsu America Corp.,Home Office,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer IV,DESIGN ENGINEERING,Engineer IV,Engineer IV,,Engineering
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Lead Engineer II,DESIGN ENGINEERING,Lead Engineer II,Lead Engineer II,,Engineering
CC,KAC,United States,Komatsu America Corp.,Chattanooga,Corporate Finance,Corporate,General & Administrative,Regular,Full-Time,Salaried,"Manager, Shared Services",SHARED SERV CTR - AP,"Accounting - Manager, Shared Services",Shared Services Accounting Project Manager,,Accounting
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Superintendent,Materials Management,"Manufacturing - Superintendent, Logistics","Superintendent, Logistics",,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Information Technology,Corporate,General & Administrative,Regular,Full-Time,Salaried,IT Director I,GVMO,Information Technology - IT Director I,"IT Director, Vendor Management",,Information Technology
CC,KAC,United States,Komatsu America Corp.,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,"Director, EDT Product Support",PRODUCT QUAL SUPPORT,"Mining Service - Director, EDT Product Support",Director EDT Product Support,,Mining Service
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Sr. Manager - Test Engineering,TEST ENGINEERING,Sr. Manager - Test Engineering,"Sr. Engineering Manager, Test",,Engineering
CC,Underground,United States,Joy Global Underground,Franklin - Franklin Operations,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineering Manager I,Mining Electrificati,Engineering Manager I,Engineering Manager - Energy Storage,Tech & Spec Sal (SE),Engineering
CC,Underground,United States,Joy Global Underground,Lebanon - South East Americas,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Manager III,Americas Quality,Quality - Quality Manager III,"Regional Quality Manager, SE",Tech & Spec Sal (SE),Manufacturing Quality
CC,Underground,United States,Joy Global Underground,Franklin - Franklin Operations,Engineering,Komatsu Mining Technologies,Research and Development,Regular,Full-Time,Salaried,Engineer IV,Entry Developm't Eng,Engineering - Engineer IV,Engineer,Tech & Spec Sal (SE),Engineering
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-MFG SHIPPING,Manufacturing - Welder,Welder,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Komatsu Financial,Komatsu North America,Komatsu Financial,Regular,Full-Time,Salaried,"Manager, Cash Processing",KFLP OVERHEAD-RETAIL,"Finance - Manager, Cash Processing","Manager, Cash Processing",,Finance
CC,KAC,United States,Komatsu America Corp.,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Director Program Management,MINING EXECUTIVES,Director Program Management,"Director, Program Management",,Product Management
CC,KAC,United States,Komatsu America Corp.,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,TEST ENGINEERING,Temporary Contractor,Engineering Contractor,,Contingent Worker
CC,KAC,United States,Komatsu America Corp.,Home Office,Parts Sales & Marketing,Komatsu North America,Parts,Regular,Full-Time,Salaried,DPSM,East Region Parts Sa,Parts Sales & Marketing - DPSM,DPSM,,Parts Sales & Marketing
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,EHS Specialist,PMO-SAFETY,EHS Specialist,Safety Master,,Environmental Health & Safety
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,General Assembler,TEST ENGINEERING,Manufacturing - General Assembler,General Assembler,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Equipment Inspector,PMO-INSPECTION,Manufacturing - Equipment Inspector,Equipment Inspector,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Engineer II,"CMO-MFG.ENG.,",Manufacturing Engineer II,Manufacturing Engineer,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Regional Parts Sales Manager,PRODUCT QUAL SUPPORT,Parts Sales & Marketing - Regional Parts Sales Manager,Reg Parts Sls Manager,,Parts Sales & Marketing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Marketing Admin,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,"Director, HANSEI Planng & Marketing Info",MARKET RESEARCH-HQ,"Marketing - Director, HANSEI Planng & Marketing Info","Director, HANSEI Planng & Marketing Info",,Marketing
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Superintendent,PMO-MFG WELDING ENG,"Manufacturing - Superintendent, Logistics","Superintendent, Logistics",,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Inspector I,CMO-INDIR.QA-HE,Manufacturing - Inspector I,Inspector I,,Manufacturing
OVC,Underground,United States,Joy Global Underground,Reno - Franklin Operations,Manufacturing,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Chain Cell Operator,Machine Shop RNO,Manufacturing - Chain Cell Operator,RNO Induction Cell Operator,Direct (DL),Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Manufacturing Engineering Technician,"CMO-RedHat,Supp,TL",Manufacturing - Manufacturing Engineering Technician,Manufacturing Engineering Technician,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Plant Supervisor,"CMO-MFG.FAB.,",Manufacturing - Plant Supervisor,Plant Supervisor,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Home Office,Product & Services,Komatsu North America,Sales & Product Support,Regular,Full-Time,Salaried,Customer Support Manager,Central Region Servi,Tech Service - Customer Support Manager,Customer Support Manager,,Technical Service
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Production Scheduler/Planner,CMO-PPCS,Manufacturing - Production Scheduler/Planner,Production Scheduler/Planner,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Machinist,CMO-DIR.MACH.-HE,Manufacturing - Machinist,Machinist,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Plant Supervisor,"CMO-MFG.ENG.,",Manufacturing - Plant Supervisor,Plant Supervisor,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Welder,CMO-DIR.FAB.-HE,Manufacturing - Welder,Welder,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Trans Utility Worker,PEORIA MFG,Manufacturing - Trans Utility Worker,Trans Utility Worker,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Komatsu Financial,Komatsu North America,Komatsu Financial,Regular,Full-Time,Salaried,Leasing Manager,KFLP OVERHEAD-RETAIL,Finance - Leasing Manager,Leasing Manager,,Finance
OVC,Komatsu West,United States,Komatsu America Corp.,Salt Lake City (KEC),Komatsu Equipment Company,Komatsu North America,Komatsu Equipment Company,Regular,Full-Time,Hourly,Shop Technician - U,Rebuild Non-Mgmt,Shop Technician - Shop Technician - U,Shop Technician - U,,Warehouse Distribution
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Trans Utility Worker,Logistics,Manufacturing - Trans Utility Worker,Trans Utility Worker,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Plant Supervisor,PMO-GENERAL FACTORY,Manufacturing - Plant Supervisor,Plant Supervisor,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,CMM & Machining Inspector,PMO-INSPECTION,Manufacturing - CMM & Machining Inspector,CMM & Machining Inspector,,Manufacturing
OVC,Underground,United States,Joy Global Underground,Reno - Franklin Operations,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Material Handler,RNO Prod Cntrl,Supply Chain - Material Handler,RNO Material Handler,Indirect (IG),Supply Chain
CC,Underground,United States,Joy Global Underground,Franklin - Franklin Operations,Quality,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Manager I,Amer Supp Quality,Quality - Quality Manager I,Senior Supplier Quality Engineer- Specialist,Tech & Spec Sal (SE),Manufacturing Quality
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Engineering Technician,"CMO-RedHat,Supp,TL",Manufacturing - Engineering Technician,Engineering Technician,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Salaried,Plant Supervisor,"CMO-MFG.FAB.,",Manufacturing - Plant Supervisor,Plant Supervisor,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Assembler,CMO-STOCKYARD,Manufacturing - Assembler,Assembler,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Painter TL,"CMO-RedHat,Supp,TL",Manufacturing - Painter TL,Painter TL,,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Painter TL,"CMO-RedHat,Supp,TL",Manufacturing - Painter TL,"Painter, TL",,Manufacturing
OVC,KAC,United States,Komatsu America Corp.,Chattanooga,CMO Chattanooga,Komatsu North America,Manufacturing,Regular,Full-Time,Hourly,Manufacturing Engineering Technician,CMO-IND.MAINT.-HE,Manufacturing - Manufacturing Engineering Technician,Manufacturing Engineering Technician,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Corporate Finance,Corporate,General & Administrative,Regular,Full-Time,Salaried,"Sr Analyst, (IT)",KAC-FP&A,"Finance - Sr Analyst, (IT)","Sr Analyst, (IT)",,Finance
OVC,KAC,United States,Komatsu America Corp.,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Painter,PMO-MFG SHIPPING,Manufacturing - Painter,Painter,,Manufacturing
CC,KAC,United States,Komatsu America Corp.,Chicago Headquarters,Strategy & Innovation,Komatsu North America,General & Administrative,Regular,Full-Time,Salaried,Dealer Change Manager,Digital Solution KNA,Strategy & Innovation - Dealer Change Manager,Dealer Change Manager,,Strategy & Innovation
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,"Customer Support Services Supervisor, East Region",Customer Care,"Customer Service - Customer Support Services Supervisor, East Region","Supervisor, Customer Support Services - Eastern Region",,Parts
OVC,Underground,United States,Joy Global Underground,Reno - Franklin Operations,Supply Chain Division,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Material Handler,RNO Prod Cntrl,Supply Chain - Material Handler,RNO Material Handler,Indirect (IG),Supply Chain
CC,KAC,United States,Komatsu America Corp.,Ripley,Parts Ripley,Komatsu North America,Parts,Regular,Full-Time,Salaried,Supply Chain Data Specialist,PARTS CENTRAL INV MG,Parts - Supply Chain Data Specialist,Supply Chain Data Specialist,,Parts
